C1=0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
C2=0.000000,0.000000,0.705882,0.294118,0.000000,0.000000
C3=0.000000,0.000000,0.411765,0.588235,0.000000,0.000000
C4=0.000000,0.000000,0.117647,0.882353,0.000000,0.000000
C5=0.000000,0.000000,0.000000,0.909091,0.000000,0.090909
C6=0.000000,0.000000,0.000000,0.757576,0.000000,0.242424
C7=0.000000,0.000000,0.000000,0.606061,0.000000,0.393939
C8=0.000000,0.000000,0.000000,0.454545,0.000000,0.545455
C9=0.000000,0.000000,0.000000,0.303030,0.000000,0.696970
C10=0.000000,0.000000,0.000000,0.151515,0.000000,0.848485
C11=0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
C12=0.000000,0.100000,0.000000,0.000000,0.000000,0.900000
C13=0.000000,0.200000,0.000000,0.000000,0.000000,0.800000
C14=0.000000,0.300000,0.000000,0.000000,0.000000,0.700000
C15=0.000000,0.400000,0.000000,0.000000,0.000000,0.600000
C16=0.000000,0.500000,0.000000,0.000000,0.000000,0.500000
C17=0.000000,0.600000,0.000000,0.000000,0.000000,0.400000
C18=0.000000,0.700000,0.000000,0.000000,0.000000,0.300000
C19=0.000000,0.800000,0.000000,0.000000,0.000000,0.200000
C20=0.000000,0.900000,0.000000,0.000000,0.000000,0.100000
C21=0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
C22=0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
C23=0.000000,0.000000,0.705882,0.294118,0.000000,0.000000
C24=0.000000,0.000000,0.411765,0.588235,0.000000,0.000000
C25=0.000000,0.000000,0.117647,0.882353,0.000000,0.000000
C26=0.000000,0.000000,0.000000,0.909091,0.000000,0.090909
C27=0.000000,0.000000,0.000000,0.757576,0.000000,0.242424
C28=0.000000,0.000000,0.000000,0.606061,0.000000,0.393939
C29=0.000000,0.000000,0.000000,0.454545,0.000000,0.545455
C30=0.000000,0.000000,0.000000,0.303030,0.000000,0.696970
C31=0.000000,0.000000,0.000000,0.151515,0.045455,0.803030
C32=0.000000,0.000000,0.000000,0.000000,0.100000,0.900000
C33=0.000000,0.100000,0.000000,0.000000,0.100000,0.800000
C34=0.000000,0.200000,0.000000,0.000000,0.100000,0.700000
C35=0.000000,0.300000,0.000000,0.000000,0.100000,0.600000
C36=0.000000,0.400000,0.000000,0.000000,0.100000,0.500000
C37=0.000000,0.500000,0.000000,0.000000,0.100000,0.400000
C38=0.000000,0.600000,0.000000,0.000000,0.100000,0.300000
C39=0.000000,0.700000,0.000000,0.000000,0.100000,0.200000
C40=0.000000,0.800000,0.000000,0.000000,0.100000,0.100000
C41=0.000000,0.900000,0.000000,0.000000,0.100000,-0.000000
C42=0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
C43=0.000000,0.000000,0.705882,0.294118,0.000000,0.000000
C44=0.000000,0.000000,0.411765,0.588235,0.000000,0.000000
C45=0.000000,0.000000,0.117647,0.882353,0.000000,0.000000
C46=0.000000,0.000000,0.000000,0.909091,0.000000,0.090909
